숙소번호,숙소명,지역,숙소종류,1박가격(만원),방개수,최대수용인원,평점,예약상태,lat,lon
J066,달빛 오션,표선면,한옥스테이,11.0,,5.0,4.6,가능,33.315581,126.836203
J067,오름 라운지,중문동,호텔,19.0,2.0,3.0,4.5,가능,33.2495,126.40138
J068,바다빛 포레스트,남원읍,독채,31.0,2.0,8.0,1.2,가능,33.264955,126.715498
J069,달빛 베이,안덕면,독채,18.0,4.0,12.0,4.7,가능,33.244032,126.306428
J070,푸른섬 홈,구좌읍,,15.0,4.0,9.0,4.3,가능,33.525324,126.837201
J071,바람 마루,조천읍,호텔,34.0,1.0,6.0,1.8,불가능,33.530555,126.645885
J072,소담 하우스,안덕면,펜션,17.0,4.0,4.0,3.0,가능,33.274856,126.326796
J073,돌담 라운지,서귀포시,한옥스테이,22.0,1.0,8.0,4.2,가능,33.258353,126.57502
J074,달빛 하우스,표선면,독채,12.0,,11.0,2.1,가능,,
J075,해돋이 포레스트,성산읍,호텔,21.0,3.0,4.0,3.5,가능,,126.931152
J076,오름 쉼터,안덕면,독채,15.0,4.0,8.0,2.0,가능,33.24323,126.325588
J077,오름 힐,성산읍,펜션,16.0,4.0,5.0,4.3,불가능,33.454298,126.940892
J078,돌담 스테이,조천읍,펜션,28.0,2.0,9.0,1.8,가능,33.533278,126.643875
J079,동백 힐,한림읍,펜션,17.0,1.0,10.0,1.7,가능,33.410142,126.268326
J080,귤꽃 오션,안덕면,리조트,29.0,4.0,8.0,1.7,가능,33.266728,126.339135
J081,봄날 스테이,구좌읍,독채,14.0,2.0,7.0,1.2,가능,33.538962,126.852684
J082,구름 하우스,중문동,게스트하우스,,1.0,3.0,1.9,가능,33.249147,126.420589
J083,돌담 코티지,서귀포시,펜션,26.0,2.0,9.0,4.6,가능,33.240819,126.544707
J084,파도 포레스트,제주시,,22.0,3.0,5.0,2.4,불가능,33.495877,126.536662
J085,해안 라운지,안덕면,펜션,24.0,4.0,7.0,4.2,가능,33.265956,126.342848
J086,소담 마루,한림읍,독채,21.0,3.0,12.0,4.2,가능,33.412441,126.266059
J087,바다빛 하우스,성산읍,리조트,31.0,4.0,6.0,4.4,가능,33.427385,126.939069
J088,바람 정원,조천읍,한옥스테이,13.0,2.0,6.0,3.9,가능,33.545109,126.638965
J089,바람 리브,조천읍,독채,24.0,5.0,8.0,3.6,가능,33.549399,126.649023
J090,돌담 테라스,애월읍,독채,30.0,3.0,5.0,1.4,불가능,,
J091,귤꽃 하우스,안덕면,게스트하우스,5.0,1.0,1.0,3.4,가능,,
J092,구름 오션,조천읍,한옥스테이,19.0,2.0,7.0,1.7,불가능,33.537995,126.628628
J093,파도 테라스,남원읍,펜션,26.0,1.0,9.0,4.9,가능,33.28921,126.741556
J094,소담 스테이,제주시,독채,,2.0,8.0,1.2,가능,33.504807,126.522144
J095,소담 코티지,표선면,게스트하우스,5.0,1.0,2.0,2.3,가능,33.32613,126.84455
J096,구름 리브,한림읍,게스트하우스,5.0,1.0,3.0,3.7,가능,33.408921,126.268377
J097,동백 마루,한림읍,한옥스테이,11.0,3.0,3.0,3.7,가능,33.398935,126.291203
J098,산호 라운지,표선면,호텔,14.0,2.0,5.0,3.7,가능,33.342551,126.826035
J099,달빛 스테이,한림읍,펜션,9.0,2.0,2.0,3.3,가능,33.392575,126.253209
J100,봄날 테라스,구좌읍,펜션,21.0,1.0,6.0,2.8,가능,33.524415,126.849063
