판매일자,상품코드,가격,판매수량
2026-07-25,P029,2100,5
2026-07-25,P066,700,11
2026-07-26,P006,1500,6
2026-07-26,P067,1500,15
2026-07-26,P048,1700,9
2026-07-26,P074,3800,11
2026-07-26,P001,5900,1
2026-07-27,P045,1800,3
2026-07-27,P014,4200,9
2026-07-27,P046,1800,3
2026-07-28,P040,2200,9
2026-07-29,P041,2500,8
2026-07-29,P032,1800,11
2026-07-29,P057,4800,6
2026-07-29,P057,4800,4
2026-07-29,P086,1500,12
2026-07-30,P025,3900,7
2026-07-30,P011,3500,10
2026-07-30,P008,1700,7
2026-07-30,P006,1500,5
2026-07-31,P083,3000,3
2026-07-31,P007,1600,6
2026-07-31,P049,1800,14
2026-08-01,P007,1600,9
2026-08-01,P077,1700,5
2026-08-01,P007,1600,5
2026-08-02,P038,2200,10
2026-08-02,P054,1800,4
2026-08-02,P016,1800,9
2026-08-03,P019,1800,5
2026-08-03,P017,1700,10
2026-08-03,P089,1200,5
2026-08-04,P020,2200,8
2026-08-04,P042,1500,9
2026-08-04,P099,2500,2
2026-08-05,P002,6200,6
2026-08-05,P027,3500,11
2026-08-06,P096,1000,7
2026-08-06,P013,3600,2
2026-08-06,P042,1500,3
2026-08-06,P012,3800,5
2026-08-06,P102,1500,15
2026-08-06,P006,1500,5
2026-08-06,P023,1200,11
2026-08-06,P088,2500,10
2026-08-06,P035,2300,3
2026-08-06,P008,1700,10
2026-08-07,P064,1800,10
2026-08-07,P054,1800,11
2026-08-07,P037,2200,3
2026-08-07,P016,1800,13
2026-08-07,P001,5900,1
2026-08-08,P005,5200,6
2026-08-08,P053,1700,5
2026-08-08,P062,2500,9
2026-08-08,P062,2500,9
2026-08-09,P054,1800,6
2026-08-09,P030,2900,10
2026-08-09,P064,1800,6
2026-08-09,P017,1700,9
2026-08-09,P020,2200,5
2026-08-09,P072,1900,11
2026-08-09,P016,1800,14
2026-08-10,P066,700,13
2026-08-10,P076,2200,8
2026-08-11,P007,1600,9
2026-08-11,P009,1600,3
2026-08-11,P052,2000,4
2026-08-11,P035,2300,8
2026-08-11,P012,3800,6
2026-08-11,P022,1000,14
2026-08-12,P085,3500,11
2026-08-12,P091,2500,9
2026-08-12,P052,2000,13
2026-08-12,P060,1800,13
2026-08-13,P066,700,8
2026-08-13,P014,4200,6
2026-08-13,P039,2100,9
2026-08-14,P081,2200,3
2026-08-14,P026,4200,3
2026-08-14,P098,8000,2
2026-08-15,P077,1700,15
2026-08-16,P089,1200,3
2026-08-16,P054,1800,15
2026-08-17,P013,3600,3
2026-08-17,P059,2200,4
2026-08-17,P064,1800,3
2026-08-17,P060,1800,14
2026-08-17,P090,3000,2
2026-08-18,P007,1600,4
2026-08-18,P079,1500,3
2026-08-18,P059,2200,4
2026-08-18,P044,1800,6
2026-08-19,P047,2100,8
2026-08-19,P048,1700,13
2026-08-21,P085,3500,7
2026-08-21,P071,1800,4
2026-08-22,P071,1800,6
2026-08-22,P054,1800,8
2026-08-22,P096,1000,15
2026-08-22,P036,2400,6
2026-08-23,P048,1700,13
2026-08-23,P068,1200,13
2026-08-24,P039,2100,11
2026-08-24,P058,2500,11
2026-08-24,P080,1500,7
2026-08-24,P096,1000,11
2026-08-25,P043,1600,10
2026-08-25,P014,4200,9
2026-08-25,P082,2200,6
2026-08-25,P075,3900,6
2026-08-25,P030,2900,10
